cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,war_dummy,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy
1.7,0.5,2.9,3.1,1.4,2005-01-01,4.75,0,6.855439642324912,,,2.2167487684729092
1.7,0.9,2.8,3.6,1.3,2005-02-01,4.75,0,7.31343283582091,,,2.6022304832713727
2.0,1.7,3.0,4.3,1.6,2005-03-01,4.75,0,7.090103397341196,,,2.583025830258312
1.9,1.1,2.9,4.0,1.5,2005-04-01,4.75,0,7.079646017699104,,,1.595092024539868
1.9,1.4,3.1,3.5,1.6,2005-05-01,4.75,0,6.1224489795918435,,,1.9583843329253225
2.0,2.2,3.2,3.5,1.6,2005-06-01,4.75,0,7.771260997067442,,,1.1097410604192337
2.3,1.7,3.4,4.5,1.9,2005-07-01,4.75,0,7.982583454281578,,,1.6009852216748666
2.4,2.2,3.5,5.2,1.9,2005-08-01,4.75,0,7.173601147776187,,,0.7361963190184007
2.5,1.9,3.6,6.1,1.9,2005-09-01,4.5,0,5.547652916073975,,,-1.328502415458932
2.4,1.5,3.6,6.0,1.9,2005-10-01,4.5,0,4.481792717086819,,,-1.0791366906474864
2.2,1.7,3.6,4.4,1.8,2005-11-01,4.5,0,6.488011283497874,,,-0.3614457831325302
2.1,1.6,3.7,2.9,1.7,2005-12-01,4.5,0,8.238636363636353,,,0.24330900243310083
2.2,1.1,3.8,5.1,1.7,2006-01-01,4.5,0,7.3919107391910766,,,-0.48192771084337727
2.2,1.0,3.9,4.3,1.8,2006-02-01,4.5,0,7.232267037552131,,,0.12077294685990392
2.0,-0.5,4.0,3.6,1.7,2006-03-01,4.5,0,6.7586206896551815,,,0.5995203836930418
2.2,0.3,4.3,4.5,1.7,2006-04-01,4.5,0,7.438016528925617,,,1.570048309178751
2.4,1.1,4.7,4.1,1.6,2006-05-01,4.5,0,7.14285714285714,,,-0.24009603841537164
2.6,1.8,4.9,4.0,1.7,2006-06-01,4.5,0,6.258503401360538,,,1.8292682926829285
2.5,3.1,5.0,3.4,1.4,2006-07-01,4.5,0,6.048387096774199,,,1.3333333333333197
2.6,3.3,5.1,2.5,1.6,2006-08-01,4.5,0,5.35475234270415,,,0.6090133982947554
2.5,3.9,5.1,0.6,1.8,2006-09-01,4.75,0,5.39083557951483,,,1.346389228886169
2.5,4.6,5.1,-0.5,1.8,2006-10-01,4.75,0,4.6916890080428875,,,0.363636363636366
2.8,4.9,5.3,0.8,2.0,2006-11-01,4.75,0,3.9735099337748325,,,-0.241837968561065
2.9,4.5,5.2,2.0,2.0,2006-12-01,5.0,0,3.149606299212593,,,-0.24271844660194164
2.7,3.8,5.1,0.7,1.9,2007-01-01,5.0,0,1.4285714285714235,,,0.0
2.7,4.3,5.1,1.2,1.9,2007-02-01,5.25,0,1.6861219195849708,,,-0.24125452352231624
2.9,5.5,4.8,1.5,2.1,2007-03-01,5.25,0,2.3255813953488413,,,-0.8343265792610244
2.7,5.9,4.1,1.3,2.0,2007-04-01,5.25,0,1.9230769230769162,,,-1.3079667063020106
2.5,4.9,3.6,2.4,2.1,2007-05-01,5.25,0,2.3076923076922995,,,0.0
2.5,4.7,3.2,3.0,2.1,2007-06-01,5.5,0,2.688860435339313,,,-0.5988023952095856
2.0,2.8,2.9,2.4,2.0,2007-07-01,5.5,0,2.4081115335867986,,,-1.3157894736842035
2.0,3.0,2.8,2.6,2.0,2007-08-01,5.75,0,2.414231257941535,,,0.1210653753026758
2.0,3.8,2.6,2.7,1.8,2007-09-01,5.75,0,4.092071611253201,,,0.7246376811594235
2.3,4.8,2.4,5.0,1.9,2007-10-01,5.75,0,5.505761843790036,,,0.9661835748792313
2.2,4.9,2.2,5.5,1.7,2007-11-01,5.75,0,6.369426751592355,,,1.8181818181818077
2.3,5.5,2.1,5.7,1.8,2007-12-01,5.75,0,6.997455470737912,,,3.406326034063256
2.4,6.2,2.2,6.3,1.7,2008-01-01,5.5,0,9.346991037131902,,,4.72154963680389
2.6,5.6,3.2,6.2,1.7,2008-02-01,5.5,0,9.693877551020403,,,5.925030229746064
2.6,5.5,3.3,7.0,1.6,2008-03-01,5.25,0,10.1010101010101,,,6.610576923076916
3.0,6.6,3.8,6.2,1.8,2008-04-01,5.25,0,11.446540880503143,,,9.63855421686748
3.3,7.9,4.1,6.2,1.9,2008-05-01,5.0,0,12.907268170426068,,,9.98796630565586
3.7,9.6,4.2,7.3,1.9,2008-06-01,5.0,0,14.463840399002482,,,9.999999999999986
4.2,12.4,4.4,8.2,2.2,2008-07-01,5.0,0,14.480198019801982,,,11.030303030303013
4.4,13.2,5.0,7.7,2.2,2008-08-01,5.0,0,14.267990074441684,,,11.850060459492129
4.8,11.4,6.6,7.8,2.4,2008-09-01,5.0,0,14.12776412776413,,,11.870503597122294
4.2,10.1,6.7,4.4,2.1,2008-10-01,5.0,0,11.407766990291247,,,12.440191387559807
3.8,10.7,6.6,1.4,2.2,2008-11-01,4.5,0,9.221556886227544,,,14.404761904761898
3.0,10.5,6.3,0.4,1.5,2008-12-01,3.0,0,7.966706302021409,,,15.882352941176482
