lag,coef,ci_low,ci_high
0,-0.05087342352555073,-0.13386179656408975,0.03211494951298828
1,0.1478426099342749,0.014486157667475075,0.2811990622010747
2,0.02132383462889009,-0.11169277859806101,0.1543404478558412
3,-0.05394633001577336,-0.18616140163215297,0.07826874160060623
4,0.011781290491753662,-0.12048500000126752,0.14404758098477485
5,-0.011267824360045874,-0.14192034313206614,0.1193846944119744
6,0.07823502867984913,-0.05267468490480365,0.20914474226450191
7,0.015536624257431787,-0.11295953125588658,0.14403277977075016
8,-0.01646969127112831,-0.14836042902240304,0.11542104648014644
9,0.05739583494571568,-0.07075885230003129,0.18555052219146265
10,-0.03722893537767003,-0.16628108248298348,0.09182321172764343
11,0.02912621724567562,-0.09862201771483645,0.1568744522061877
12,-0.012500155027569619,-0.09114252465453207,0.06614221459939282
