cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy,war_dummy
0.5,-2.5,1.4,-2.8,1.5,2015-01-01,0.5,-5.405405405405405,-1.729106628242072,0.0,-0.4770992366412208,0
0.4,-3.3,1.4,-2.7,1.4,2015-02-01,0.5,-5.405405405405405,-2.4038461538461564,-1.2757605495584023,-1.8199233716475138,0
0.3,-3.0,1.4,-1.9,1.2,2015-03-01,0.5,-5.503731343283591,-2.113352545629188,-1.4677103718199636,-1.338432122370925,0
0.3,-2.9,1.3,-2.7,1.1,2015-04-01,0.5,-4.7752808988763995,-1.8304431599229232,-1.1753183153770719,-1.056676272814594,0
0.4,-1.8,1.3,-1.5,1.2,2015-05-01,0.5,-5.23364485981308,-3.3816425120772986,-1.2770137524557912,-4.251207729468609,0
0.3,-2.2,1.3,-1.8,1.0,2015-06-01,0.5,-5.44090056285178,-3.3947623666343407,-2.44140625,-4.470359572400396,0
0.5,-2.7,1.2,-1.8,1.3,2015-07-01,0.5,-5.482041587901698,-3.606237816764124,-2.6444662095984173,-4.219823356231611,0
0.4,-2.4,1.2,-2.5,1.2,2015-08-01,0.5,-6.356736242884253,-4.081632653061229,-2.9296875,-4.868549172346636,0
0.2,-2.2,1.2,-2.7,1.2,2015-09-01,0.5,-5.899143672692664,-3.790087463556857,-2.246093750000011,-4.461687681862269,0
0.2,-2.7,1.2,-2.7,1.3,2015-10-01,0.5,-5.55023923444976,-3.4079844206426513,-3.0243902439024306,-4.065827686350443,0
0.4,-2.4,1.3,-2.1,1.4,2015-11-01,0.5,-5.9558117195004705,-4.093567251461982,-4.483430799220267,-5.415860735009681,0
0.5,-2.9,1.3,-0.2,1.5,2015-12-01,0.5,-5.2427184466019465,-3.707317073170724,-3.0303030303030276,-4.716073147256983,0
0.6,-2.6,1.3,-0.5,1.4,2016-01-01,0.5,-4.334975369458139,-2.5415444770283457,-1.2732615083251742,-3.0680728667305868,0
0.6,-2.2,1.3,-0.9,1.4,2016-02-01,0.5,-4.039408866995064,-1.2807881773398977,0.8946322067594492,-0.585365853658526,0
0.8,-2.8,1.4,-0.1,1.6,2016-03-01,0.5,-2.4679170779861814,-1.2757605495584023,0.9930486593842991,-0.8720930232558155,0
